#,9297.96,3%,0,200000.00
1.00,9297.96,6200.00,3097.96,196902.04,10/10/2023
2.00,9297.96,6103.96,3194.00,193708.05,11/10/2023
3.00,9297.96,6004.95,3293.01,190415.04,12/10/2023
4.00,9297.96,5902.87,3395.09,187019.94,1/10/2024
5.00,9297.96,5797.62,3500.34,183519.60,2/10/2024
6.00,9297.96,5689.11,3608.85,179910.75,3/10/2024
7.00,9297.96,5577.23,3720.73,176190.02,4/10/2024
8.00,9297.96,5461.89,3836.07,172353.96,5/10/2024
9.00,9297.96,5342.97,3954.99,168398.97,6/10/2024
10.00,9297.96,5220.37,4077.59,164321.38,7/10/2024
11.00,9297.96,5093.96,4204.00,160117.38,8/10/2024
12.00,9297.96,4963.64,4334.32,155783.06,9/10/2024
13.00,9297.96,4829.27,4468.68,151314.38,10/10/2024
14.00,9297.96,4690.75,4607.21,146707.16,11/10/2024
15.00,9297.96,4547.92,4750.04,141957.13,12/10/2024
16.00,9297.96,4400.67,4897.29,137059.84,1/10/2025
17.00,9297.96,4248.85,5049.10,132010.73,2/10/2025
18.00,9297.96,4092.33,5205.63,126805.11,3/10/2025
19.00,9297.96,3930.96,5367.00,121438.11,4/10/2025
20.00,9297.96,3764.58,5533.38,115904.73,5/10/2025
21.00,9297.96,3593.05,5704.91,110199.82,6/10/2025
22.00,9297.96,3416.19,5881.76,104318.05,7/10/2025
23.00,9297.96,3233.86,6064.10,98253.95,8/10/2025
24.00,9297.96,3045.87,6252.09,92001.87,9/10/2025
25.00,9297.96,2852.06,6445.90,85555.96,10/10/2025
26.00,9297.96,2652.23,6645.72,78910.24,11/10/2025
27.00,9297.96,2446.22,6851.74,72058.50,12/10/2025
28.00,9297.96,2233.81,7064.15,64994.35,1/10/2026
29.00,9297.96,2014.82,7283.13,57711.22,2/10/2026
30.00,9297.96,1789.05,7508.91,50202.31,3/10/2026
31.00,9297.96,1556.27,7741.69,42460.62,4/10/2026
32.00,9297.96,1316.28,7981.68,34478.94,5/10/2026
33.00,9297.96,1068.85,8229.11,26249.83,6/10/2026
34.00,9297.96,813.74,8484.21,17765.61,7/10/2026
35.00,9297.96,550.73,8747.23,9018.39,8/10/2026
36.00,9297.96,279.57,9018.39,0.00,9/10/2026
